RANK	NAME	INSTITUTION	H-INDEX	CITATIONS
171	Janet Rossant	University of Toronto	122	57698
172	Yaakov Stern	Columbia University	122	53077
173	Richard Mayeux	Columbia University	122	49835
174	John Cacioppo	University of Chicago	121	80636
175	Carlos Frenk	Durham University	121	72908
176	Stylianos E Antonarakis	Université de Genève	121	68250
177	Joseph Wang	New Mexico State University Arizona State University Technion University of California San Diego	121	63614
178	Hector Garcia Molina	Stanford University	121	63090
179	Phaedon Avouris	IBM	121	57619
180	I Kawachi	Harvard University	121	54006
181	Kevin P Campbell	University of Iowa	121	50670
182	David A Weitz	Harvard University	121	48519
183	Yujing Li	China University of Petroleum Beijing	120	81155
184	A John Rush	Duke NUS Graduate Medical School Singapore	120	77129
185	C N R Rao	Jawaharlal Nehru Centre for Advanced Scientific Research	120	75189
186	John P A Ioannidis	Stanford University	120	68909
187	Hediye Erdjument Bromage	Memorial Sloan Kettering Cancer Center	120	56905
188	Pasko Rakic	Yale University	120	56221
189	Sandra Leone	Istituto Nazionale di Fisica Nucleare INFN	120	55804
190	Wallace S Broecker	Columbia University	120	54019
191	Okano Teruo	Tokyo Women's Medical University	120	53810
192	David P Farrington	University of Cambridge	120	49881
193	Ming T Tsuang	University of California San Diego	120	47248
194	Zygmunt Bauman	University of Leeds	119	122384
195	Miguel Branco	Ecole Polytechnique Fédérale de Lausanne	119	79024
196	Philip Jones	University of East Anglia	119	58797
197	Stanislas Dehaene	Collège de France	119	58177
198	Robert Plomin	King's College London	119	57316
199	Kenneth J Arrow	Stanford University	118	134863
200	Lev Davidovich Landau	Moscow State University Russian Academy of Sciences RAS	118	110661
201	David Haussler	University of California Santa Cruz	118	91866
202	Janet M Thornton	European Bioinformatics Institute EMBL EBI	118	82691
203	Hans Eysenck	King's College London	118	76810
204	Russell Tracy	University of Vermont	118	72233
205	Vivek A Sharma	University of California San Diego	118	66725
206	Philippe Froguel	Imperial College London; CNRS	118	65874
207	David S Eisenberg	University of California Los Angeles	118	61564
208	Michael Gimbrone	Brigham and Women's Hospital Harvard Medical School	118	56405
209	Itamar Willner	The Hebrew University of Jerusalem	118	50371
210	Teruo Okano	Tokyo Women's Medical University	118	48715
213	Michael I Jordan	University of California Berkeley	117	80582
214	David Bates	Harvard Medical School	117	68837
215	Alex Zunger	University of Colorado Boulder	117	65417
216	Jean Luc Bredas	King Abdullah University of Science and Technology	117	63456
217	Michele Parrinello	ETH Zurich	117	59546
218	J K Nicholson	Imperial College London	117	52697
219	David Gerdes	University of Michigan	117	51523
220	Prashant V Kamat	University of Notre Dame	117	48682
211	Michael E Porter	Bishop William Lawrence University Harvard Business School	116	242363
212	Daniel Kahneman	Princeton University	116	202058
221	Matthias Egger	University of Bern	116	85003
222	Tomaso Poggio	Massachusetts Institute of Technology MIT	116	71079
223	Shigekazu Nagata	Kyoto University	116	70724
224	Alessandro Cerri	University of Sussex	116	67002
225	Darien Wood	Northeastern University	116	63525
